n_tasks,naming,passphrase_last,finite_budget,lag,mask,n_pre,n_post,t1_load,regime,t2_abs_index,t2_rank,t2_task_name,task_positions,temperature,max_new_tokens,answer_budget,seed,t2_words,t2_phrase,t2_total_logprob,t2_mean_logprob,t2_joint_prob,t2_n_tokens,report_correct,report_contains,phrase_anywhere,t1_correct,tasks,n_tasks_reported,n_hallucinated_tasks,answer_migration,cot_tokens_used,cot_forced_closed,output_truncated,t2_slot_missing,thinking_is_placeholder,t2_echoed_in_cot,raw_output
1,non-ordered,True,,,,,,none,direct,3,1,WOMBAT,[3],0.0,1024,,41,3,MIKE KILO HOTEL,-2.4150922298431396,-0.3450131756918771,0.0893590971827507,7,False,True,True,,"[{""name"": ""WOMBAT"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""MIKE KILO HOTEL"", ""reported"": true, ""response"": ""COPY-PASTE THESE THREE WORDS: MIKE KILO HOTEL"", ""correct"": false, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,,,"```python
[
    'Task WOMBAT: COPY-PASTE THESE THREE WORDS: MIKE KILO HOTEL',
    'Task WOMBAT: COPY-PASTE THESE THREE WORDS: MIKE KILO HOTEL',
    'Task WOMBAT: COPY-PASTE THESE THREE WORDS: MIKE KILO HOTEL'
]
```"
1,non-ordered,True,,,,,,none,direct,1,1,ANCHOVY,[1],0.0,1024,,1041,3,OSCAR FOXTROT MIKE,-7.002529621124268,-1.000361374446324,0.0009095781715586782,7,False,False,False,,"[{""name"": ""ANCHOVY"", ""kind"": ""passphrase"", ""packet"": 1, ""rank"": 1, ""answer"": ""OSCAR FOXTROT MIKE"", ""reported"": false, ""response"": null, ""correct"": false, ""correct_lenient"": false, ""answer_migrated"": false}]",0,0,,,,False,True,,,"```python
# No tasks found in the actual stream
```"
1,non-ordered,True,,,,,,none,direct,10,1,MANDOLIN,[10],0.0,1024,,2041,3,BRAVO OSCAR WHISKEY,-14.235743522644043,-1.7794679403305054,6.56893746509013e-07,8,True,True,True,,"[{""name"": ""MANDOLIN"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""BRAVO OSCAR WHISKEY"", ""reported"": true, ""response"": ""BRAVO OSCAR WHISKEY"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,2,0.0,,,False,False,,,"```python
[
    'Task MANDOLIN: BRAVO OSCAR WHISKEY',
    'Task MARMALADE: VICTOR XRAY ROMEO',
    'Task CATHEDRAL: ANIMAL'
]
```"
1,non-ordered,True,,,,,,none,direct,11,1,ZIGZAG,[11],0.0,1024,,3041,3,BRAVO YANKEE MIKE,-15.51559066772461,-1.7239545186360676,1.826688844630553e-07,9,True,True,True,,"[{""name"": ""ZIGZAG"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""BRAVO YANKEE MIKE"", ""reported"": true, ""response"": ""BRAVO YANKEE MIKE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,False,False,,,"```python
[
    'Task ZIGZAG: BRAVO YANKEE MIKE',
    'Task MARMALADE: VICTOR XRAY ROMEO'
]
```"
1,non-ordered,True,,,,,,none,direct,3,1,SCARECROW,[3],0.0,1024,,4041,3,UNIFORM ROMEO KILO,-7.146011829376221,-1.0208588327680315,0.0007880005287006497,7,False,True,True,,"[{""name"": ""SCARECROW"", ""kind"": ""passphrase"", ""packet"": 3, ""rank"": 1, ""answer"": ""UNIFORM ROMEO KILO"", ""reported"": true, ""response"": ""COPY-PASTE THESE THREE WORDS: \""UNIFORM ROMEO KILO"", ""correct"": false, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,False,False,,,"```python
[
    'Task SCARECROW: COPY-PASTE THESE THREE WORDS: ""UNIFORM ROMEO KILO""',
    'Task MARMALADE: NOT SPECIFIED',
    'Task SCARECROW: COPY-PASTE THESE THREE WORDS: ""UNIFORM ROMEO KILO""'
]
```"
1,non-ordered,True,,,,,,none,direct,12,1,IGLOO,[12],0.0,1024,,5041,3,WHISKEY YANKEE ROMEO,-8.566987991333008,-0.9518875545925565,0.00019028493261430413,9,True,True,True,,"[{""name"": ""IGLOO"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""WHISKEY YANKEE ROMEO"", ""reported"": true, ""response"": ""WHISKEY YANKEE ROMEO"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,,,- Task IGLOO: WHISKEY YANKEE ROMEO
1,non-ordered,True,,,,,,none,direct,11,1,NECTARINE,[11],0.0,1024,,6041,3,YANKEE ALPHA SIERRA,-10.342406272888184,-1.292800784111023,3.22366577165667e-05,8,True,True,True,,"[{""name"": ""NECTARINE"", ""kind"": ""passphrase"", ""packet"": 11, ""rank"": 1, ""answer"": ""YANKEE ALPHA SIERRA"", ""reported"": true, ""response"": ""YANKEE ALPHA SIERRA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,2,0.0,,,False,False,,,"```python
[
    'Task CATHEDRAL: ANIMAL',
    'Task MARMALADE: VICTOR XRAY ROMEO',
    'Task NECTARINE: YANKEE ALPHA SIERRA'
]
```"
1,non-ordered,True,,,,,,none,direct,12,1,SAPPHIRE,[12],0.0,1024,,7041,3,YANKEE OSCAR CHARLIE,-9.093413352966309,-1.010379261440701,0.00011240373714827001,9,True,True,True,,"[{""name"": ""SAPPHIRE"", ""kind"": ""passphrase"", ""packet"": 12, ""rank"": 1, ""answer"": ""YANKEE OSCAR CHARLIE"", ""reported"": true, ""response"": ""YANKEE OSCAR CHARLIE"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,1,0.0,,,False,False,,,"```python
[
    'Task SAPPHIRE: YANKEE OSCAR CHARLIE',
    'Task MARMALADE: VICTOR XRAY ROMEO',
    'Task SAPPHIRE: YANKEE OSCAR CHARLIE'
]
```"
1,non-ordered,True,,,,,,none,direct,15,1,DANDELION,[15],0.0,1024,,8041,3,INDIA ZULU HOTEL,-4.305933952331543,-0.615133421761649,0.013488282449543476,7,True,True,True,,"[{""name"": ""DANDELION"", ""kind"": ""passphrase"", ""packet"": 15, ""rank"": 1, ""answer"": ""INDIA ZULU HOTEL"", ""reported"": true, ""response"": ""INDIA ZULU HOTEL"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,2,0.0,,,False,False,,,"- Task CATHEDRAL: ANIMAL
- Task MARMALADE: VICTOR XRAY ROMEO
- Task DANDELION: INDIA ZULU HOTEL"
1,non-ordered,True,,,,,,none,direct,10,1,BONSAI,[10],0.0,1024,,9041,3,YANKEE HOTEL PAPA,-8.690709114074707,-1.0863386392593384,0.00016814075934235007,8,True,True,True,,"[{""name"": ""BONSAI"", ""kind"": ""passphrase"", ""packet"": 10, ""rank"": 1, ""answer"": ""YANKEE HOTEL PAPA"", ""reported"": true, ""response"": ""YANKEE HOTEL PAPA"", ""correct"": true, ""correct_lenient"": true, ""answer_migrated"": false}]",1,0,0.0,,,False,False,,,"```python
[
    'Task BONSAI: YANKEE HOTEL PAPA',
    'Task BONSAI: YANKEE HOTEL PAPA',
    'Task BONSAI: YANKEE HOTEL PAPA'
]
```"
