model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:7b,5,trivial,cot,114,557,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,114,145,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,149,1395,0,1,1,0.5
qwen2.5:7b,5,math_bench_2,direct,149,127,0,1,,0.5
qwen2.5:7b,5,math_bench_4,cot,149,1587,0,1,1,0.5
qwen2.5:7b,5,math_bench_4,direct,149,127,0,1,,0.5
qwen2.5:7b,5,math_bench_5,cot,149,969,0,1,1,0.25
qwen2.5:7b,5,math_bench_5,direct,149,126,0,1,,0.5
qwen2.5:7b,5,trivial,cot,1114,560,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,1114,142,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,1149,880,0,1,1,0.5
qwen2.5:7b,5,math_bench_2,direct,1149,125,0,1,,0.5
qwen2.5:7b,5,math_bench_4,cot,1149,932,0,0,0,0.25
qwen2.5:7b,5,math_bench_4,direct,1149,127,0,1,,0.0
qwen2.5:7b,5,math_bench_5,cot,1149,835,0,0,1,0.0
qwen2.5:7b,5,math_bench_5,direct,1149,127,0,1,,0.0
qwen2.5:7b,5,trivial,cot,2114,439,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,2114,141,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,2149,1030,0,1,1,1.0
qwen2.5:7b,5,math_bench_2,direct,2149,124,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,2149,1655,0,1,1,0.25
qwen2.5:7b,5,math_bench_4,direct,2149,129,0,1,,0.0
qwen2.5:7b,5,math_bench_5,cot,2149,1645,0,1,1,0.5
qwen2.5:7b,5,math_bench_5,direct,2149,124,0,1,,0.0
qwen2.5:7b,5,trivial,cot,3114,676,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,3114,136,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,3149,1967,0,1,1,0.5
qwen2.5:7b,5,math_bench_2,direct,3149,126,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,3149,2009,0,1,1,0.25
qwen2.5:7b,5,math_bench_4,direct,3149,129,0,1,,0.25
qwen2.5:7b,5,math_bench_5,cot,3149,1233,0,0,0,0.25
qwen2.5:7b,5,math_bench_5,direct,3149,127,0,1,,0.0
qwen2.5:7b,5,trivial,cot,4114,379,0,1,1,0.75
qwen2.5:7b,5,trivial,direct,4114,138,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,4149,940,0,1,1,1.0
qwen2.5:7b,5,math_bench_2,direct,4149,129,0,1,,0.0
qwen2.5:7b,5,math_bench_4,cot,4149,1355,0,1,1,0.5
qwen2.5:7b,5,math_bench_4,direct,4149,129,0,1,,0.5
qwen2.5:7b,5,math_bench_5,cot,4149,1388,0,1,1,0.0
qwen2.5:7b,5,math_bench_5,direct,4149,129,0,1,,0.5
qwen2.5:7b,5,trivial,cot,5114,485,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,5114,138,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,5149,683,0,0,0,0.75
qwen2.5:7b,5,math_bench_2,direct,5149,133,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,5149,1023,0,0,0,0.5
qwen2.5:7b,5,math_bench_4,direct,5149,131,0,1,,0.25
qwen2.5:7b,5,math_bench_5,cot,5149,1598,0,0,1,0.5
qwen2.5:7b,5,math_bench_5,direct,5149,134,0,1,,0.0
qwen2.5:7b,5,trivial,cot,6114,467,0,1,1,1.0
qwen2.5:7b,5,trivial,direct,6114,138,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,6149,1079,0,1,0,0.75
qwen2.5:7b,5,math_bench_2,direct,6149,125,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,6149,1906,0,1,1,0.5
qwen2.5:7b,5,math_bench_4,direct,6149,122,0,1,,0.0
qwen2.5:7b,5,math_bench_5,cot,6149,2547,0,1,1,0.25
qwen2.5:7b,5,math_bench_5,direct,6149,125,0,1,,0.0
qwen2.5:7b,5,trivial,cot,7114,408,0,1,1,0.75
qwen2.5:7b,5,trivial,direct,7114,139,0,1,,1.0
qwen2.5:7b,5,math_bench_2,cot,7149,1355,0,0,1,1.0
qwen2.5:7b,5,math_bench_2,direct,7149,126,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,7149,945,0,0,0,0.75
qwen2.5:7b,5,math_bench_4,direct,7149,128,0,1,,0.5
qwen2.5:7b,5,math_bench_5,cot,7149,1570,0,0,1,0.0
qwen2.5:7b,5,math_bench_5,direct,7149,129,0,1,,0.0
qwen2.5:7b,5,trivial,cot,8114,422,0,1,1,1.0
