model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:1.5b,5,trivial,cot,114,2356,0,0,1,0.0
qwen2.5:1.5b,5,trivial,direct,114,89,0,0,,0.75
qwen2.5:1.5b,5,math_bench_2,cot,149,840,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_2,direct,149,127,0,1,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,149,494,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,149,128,0,1,,0.25
qwen2.5:1.5b,5,math_bench_5,cot,149,569,0,1,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,149,129,0,1,,0.25
qwen2.5:1.5b,5,trivial,cot,1114,2731,0,0,0,0.0
qwen2.5:1.5b,5,trivial,direct,1114,62,0,0,,0.5
qwen2.5:1.5b,5,math_bench_2,cot,1149,2914,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_2,direct,1149,497,0,0,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,1149,2809,0,1,1,0.0
qwen2.5:1.5b,5,math_bench_4,direct,1149,95,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,1149,1265,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,1149,135,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,2114,805,0,0,0,0.0
qwen2.5:1.5b,5,trivial,direct,2114,144,0,0,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,2149,1584,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_2,direct,2149,107,0,1,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,2149,1449,0,1,1,0.0
qwen2.5:1.5b,5,math_bench_4,direct,2149,132,0,1,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,2149,1106,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,2149,350,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,3114,280,0,0,1,0.0
qwen2.5:1.5b,5,trivial,direct,3114,61,0,0,,0.5
qwen2.5:1.5b,5,math_bench_2,cot,3149,4532,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_2,direct,3149,87,0,1,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,3149,5381,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_4,direct,3149,434,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,3149,1317,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,3149,123,0,1,,0.0
qwen2.5:1.5b,5,trivial,cot,4114,1707,0,0,0,1.0
qwen2.5:1.5b,5,trivial,direct,4114,124,0,0,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,4149,1179,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_2,direct,4149,303,0,1,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,4149,2692,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_4,direct,4149,131,0,1,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,4149,638,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,4149,116,0,1,,0.0
qwen2.5:1.5b,5,trivial,cot,5114,498,0,1,1,0.25
qwen2.5:1.5b,5,trivial,direct,5114,47,0,0,,0.0
qwen2.5:1.5b,5,math_bench_2,cot,5149,591,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_2,direct,5149,95,0,0,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,5149,837,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,5149,112,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,5149,1945,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,5149,97,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,6114,350,0,0,0,0.0
qwen2.5:1.5b,5,trivial,direct,6114,146,0,1,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,6149,5400,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_2,direct,6149,91,0,0,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,6149,4325,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,6149,2545,0,1,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,6149,936,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,6149,109,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,7114,792,0,1,1,0.5
qwen2.5:1.5b,5,trivial,direct,7114,119,0,0,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,7149,1408,0,1,1,0.25
qwen2.5:1.5b,5,math_bench_2,direct,7149,129,0,1,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,7149,781,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,7149,132,0,0,,0.25
qwen2.5:1.5b,5,math_bench_5,cot,7149,1965,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,7149,53,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,8114,850,0,0,1,0.75
qwen2.5:1.5b,5,trivial,direct,8114,133,0,1,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,8149,809,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_2,direct,8149,91,0,0,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,8149,1982,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,8149,95,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,8149,408,0,0,0,0.25
qwen2.5:1.5b,5,math_bench_5,direct,8149,790,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,9114,401,0,0,0,0.5
qwen2.5:1.5b,5,trivial,direct,9114,104,0,0,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,9149,1445,0,1,1,0.5
qwen2.5:1.5b,5,math_bench_2,direct,9149,282,0,0,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,9149,219,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,9149,149,0,1,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,9149,516,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,9149,41,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,10114,3479,0,0,1,0.0
qwen2.5:1.5b,5,trivial,direct,10114,148,0,1,,0.75
qwen2.5:1.5b,5,math_bench_2,cot,10149,427,0,0,0,0.25
qwen2.5:1.5b,5,math_bench_2,direct,10149,1280,0,1,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,10149,638,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,10149,654,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,10149,3180,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,10149,425,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,11114,735,0,1,1,0.75
qwen2.5:1.5b,5,trivial,direct,11114,115,0,0,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,11149,3113,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_2,direct,11149,120,0,1,,0.25
qwen2.5:1.5b,5,math_bench_4,cot,11149,2433,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_4,direct,11149,717,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,11149,827,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,11149,131,0,1,,0.0
qwen2.5:1.5b,5,trivial,cot,12114,2046,0,1,1,0.75
qwen2.5:1.5b,5,trivial,direct,12114,188,0,1,,1.0
qwen2.5:1.5b,5,math_bench_2,cot,12149,1432,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_2,direct,12149,96,0,0,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,12149,1245,0,0,0,0.25
qwen2.5:1.5b,5,math_bench_4,direct,12149,95,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,12149,565,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,12149,655,0,0,,0.0
qwen2.5:1.5b,5,trivial,cot,13114,1290,0,0,0,0.25
qwen2.5:1.5b,5,trivial,direct,13114,84,0,0,,0.75
qwen2.5:1.5b,5,math_bench_2,cot,13149,1767,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_2,direct,13149,90,0,0,,0.25
qwen2.5:1.5b,5,math_bench_4,cot,13149,710,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,13149,97,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,13149,2009,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,13149,135,0,1,,0.0
qwen2.5:1.5b,5,trivial,cot,14114,536,0,0,1,0.0
qwen2.5:1.5b,5,trivial,direct,14114,103,0,0,,0.75
qwen2.5:1.5b,5,math_bench_2,cot,14149,4694,0,0,1,0.0
qwen2.5:1.5b,5,math_bench_2,direct,14149,90,0,0,,0.0
qwen2.5:1.5b,5,math_bench_4,cot,14149,1123,0,0,0,0.0
qwen2.5:1.5b,5,math_bench_4,direct,14149,89,0,0,,0.0
qwen2.5:1.5b,5,math_bench_5,cot,14149,903,0,1,0,0.0
qwen2.5:1.5b,5,math_bench_5,direct,14149,96,0,0,,0.0
