model,n_tasks,t1_load,regime,seed,cot_len_chars,base_output_truncated,realized_report_contains,realized_t2_in_cot,t1_correct
qwen2.5:7b,5,math_bench_1,cot,149,851,0,1,1,0.75
qwen2.5:7b,5,math_bench_1,direct,149,128,0,1,,0.75
qwen2.5:7b,5,math_bench_2,cot,149,1223,0,1,1,0.75
qwen2.5:7b,5,math_bench_2,direct,149,127,0,1,,0.5
qwen2.5:7b,5,math_bench_3,cot,149,1379,0,1,1,1.0
qwen2.5:7b,5,math_bench_3,direct,149,128,0,1,,0.25
qwen2.5:7b,5,math_bench_4,cot,149,1413,0,1,1,0.5
qwen2.5:7b,5,math_bench_4,direct,149,127,0,1,,0.25
qwen2.5:7b,5,math_bench_1,cot,1149,1038,0,1,0,1.0
qwen2.5:7b,5,math_bench_1,direct,1149,126,0,1,,0.5
qwen2.5:7b,5,math_bench_2,cot,1149,981,0,1,1,0.75
qwen2.5:7b,5,math_bench_2,direct,1149,125,0,1,,0.5
qwen2.5:7b,5,math_bench_3,cot,1149,1016,0,0,0,0.5
qwen2.5:7b,5,math_bench_3,direct,1149,125,0,1,,0.0
qwen2.5:7b,5,math_bench_4,cot,1149,1955,0,1,1,0.5
qwen2.5:7b,5,math_bench_4,direct,1149,127,0,1,,0.25
qwen2.5:7b,5,math_bench_1,cot,2149,927,0,0,0,1.0
qwen2.5:7b,5,math_bench_1,direct,2149,124,0,1,,0.75
qwen2.5:7b,5,math_bench_2,cot,2149,954,0,1,1,1.0
qwen2.5:7b,5,math_bench_2,direct,2149,125,0,1,,0.25
qwen2.5:7b,5,math_bench_3,cot,2149,1205,0,0,0,1.0
qwen2.5:7b,5,math_bench_3,direct,2149,124,0,1,,0.5
qwen2.5:7b,5,math_bench_4,cot,2149,1367,0,1,1,0.25
qwen2.5:7b,5,math_bench_4,direct,2149,127,0,1,,0.25
qwen2.5:7b,5,math_bench_1,cot,3149,792,0,0,0,1.0
qwen2.5:7b,5,math_bench_1,direct,3149,133,0,1,,0.25
qwen2.5:7b,5,math_bench_2,cot,3149,2219,0,0,1,0.5
qwen2.5:7b,5,math_bench_2,direct,3149,126,0,1,,0.25
