model,n_tasks,naming,t1_load,regime,passphrase_last,base_temp,probe_k,seed,t2_phrase,t2_task_name,t2_rank,t2_abs_index,cot_len_chars,base_output_truncated,has_fork_point,realized_report_contains,realized_t2_in_cot,t1_correct,report_s,report_k,report_degenerate,access_s,access_k,access_degenerate
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,493,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,114,HOTEL SIERRA DELTA,INKWELL,5,14,145,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,1178,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,128,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,1188,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,130,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,1807,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,149,CHARLIE DELTA INDIA,TROMBONE,5,14,127,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,490,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,1114,QUEBEC INDIA OSCAR,DAFFODIL,5,14,142,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,1159,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,125,0,1,1,,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,1166,0,1,1,1,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,125,0,1,1,,0.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,1198,0,1,1,1,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,1149,SIERRA HOTEL XRAY,LULLABY,5,15,127,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,544,0,1,1,1,0.75,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,2114,HOTEL GOLF VICTOR,QUARRY,5,15,141,0,1,1,,1.0,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,762,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,126,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_3,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,1965,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_3,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,125,0,1,1,,0.75,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,cot,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,1815,0,1,1,1,0.5,20,20,0,,,
qwen2.5:7b,5,non-ordered,math_bench_4,direct,True,1.0,20,2149,ZULU ROMEO ALPHA,HAMMOCK,5,13,128,0,1,1,,0.25,20,20,0,,,
qwen2.5:7b,5,non-ordered,trivial,cot,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,527,0,1,1,1,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,trivial,direct,True,1.0,20,3114,HOTEL INDIA ROMEO,SAXOPHONE,5,13,136,0,1,1,,1.0,20,20,1,,,
qwen2.5:7b,5,non-ordered,math_bench_2,cot,True,1.0,20,3149,KILO UNIFORM INDIA,TOBOGGAN,5,14,1348,0,1,1,1,0.75,20,20,0,,,
